client_id,client_name,entity_type,industry_sector,region,credit_rating,rating_ordinal,debt_to_equity,interest_coverage,ebitda_margin,annual_sales_m,yield_spread_bps,debt_to_gdp,coupon_rate,yield_to_maturity,remaining_maturity,ead_m,seniority,collateral_type,historic_default,recovery_rate
CORP_029,Vanguard Industries,Corporate,Telecom,Brazil,BBB,4,1.36,3.89,0.3348,10.63,,,0.0487,0.0558,2.5,107.24,Senior Unsecured,Financial Collateral,0,0.8321
CORP_030,Beacon Services,Corporate,Technology,UK,AAA,1,0.32,11.27,0.5,75.16,,,0.0208,0.0274,7.5,20.9,Senior Secured,Real Estate,0,0.8314
CORP_031,United Services,Corporate,Finance,South Africa,BB,5,1.09,1.8,0.0786,146.52,,,0.0622,0.0723,4.8,56.28,Senior Unsecured,Financial Collateral,0,0.8985
CORP_032,Global Holdings,Corporate,Energy,UK,BBB,4,1.29,4.67,0.2288,334.6,,,0.0523,0.0571,3.7,160.79,Senior Unsecured,Unsecured,0,0.4182
CORP_033,Beacon Ventures,Corporate,Finance,India,CCC/C,7,2.86,-0.63,-0.1,117.22,,,0.1218,0.125,2.6,63.64,Senior Unsecured,Unsecured,1,0.3767
CORP_034,Helix Energy,Corporate,Telecom,India,A,3,0.85,6.88,0.4146,500.0,,,0.0389,0.0434,2.2,13.2,Senior Secured,Financial Collateral,0,0.8036
CORP_035,Titan Services,Corporate,Technology,UK,BB,5,2.72,1.04,0.1219,82.27,,,0.0648,0.0699,7.8,145.46,Senior Secured,Real Estate,0,0.7651
CORP_036,Apex Group,Corporate,Utilities,Brazil,AA,2,0.73,6.31,0.2852,24.28,,,0.0241,0.029,3.9,20.87,Senior Secured,Physical Plant,0,0.5135
CORP_037,Nordic Pharmaceuticals,Corporate,Utilities,US,BBB,4,1.63,3.21,0.3218,102.85,,,0.0428,0.0474,3.6,106.9,Senior Unsecured,Unsecured,0,0.2952
CORP_038,Pacific Telecom,Corporate,Technology,India,AA,2,0.45,9.06,0.3194,39.68,,,0.0209,0.0248,9.1,36.39,Senior Unsecured,Financial Collateral,0,0.8168
CORP_039,Global Utilities,Corporate,Finance,Germany,BB,5,2.25,3.33,0.1601,22.57,,,0.0655,0.072,6.1,73.83,Senior Secured,Real Estate,0,0.7043
CORP_040,Aero Utilities,Corporate,Technology,Brazil,AA,2,0.34,11.2,0.2589,78.42,,,0.0389,0.0407,1.5,17.58,Senior Secured,Physical Plant,0,0.5692
CORP_041,Global Utilities,Corporate,Technology,India,AAA,1,0.29,10.46,0.5,95.47,,,0.0172,0.0252,9.4,59.73,Senior Unsecured,Unsecured,0,0.3849
CORP_042,Titan Telecom,Corporate,Telecom,South Africa,BB,5,2.33,2.89,0.1723,16.5,,,0.0636,0.0698,6.3,23.45,Senior Unsecured,Financial Collateral,0,0.9263
CORP_043,Aero Group,Corporate,Technology,US,A,3,1.07,3.49,0.0969,251.34,,,0.0411,0.0443,7.2,137.0,Senior Unsecured,Financial Collateral,0,0.8487
CORP_044,Pacific Infrastructure,Corporate,Technology,South Africa,A,3,0.89,9.76,0.2475,77.86,,,0.0238,0.0301,5.1,36.58,Senior Unsecured,Unsecured,0,0.6005
CORP_045,United Technologies,Corporate,Utilities,Germany,BBB,4,1.06,4.92,0.1153,35.92,,,0.0489,0.0555,4.6,59.08,Senior Secured,Financial Collateral,0,0.8478
CORP_046,Aero Resources,Corporate,Finance,Germany,B,6,5.0,1.69,0.0673,93.36,,,0.0913,0.094,6.5,125.2,Subordinated,Unsecured,1,0.1244
CORP_047,Aero Enterprises,Corporate,Telecom,India,A,3,1.0,6.42,0.1812,19.99,,,0.0377,0.04,4.4,18.51,Senior Unsecured,Unsecured,0,0.4529
CORP_048,Synergy Telecom,Corporate,Energy,Germany,B,6,2.58,-2.0,0.0629,130.3,,,0.0924,0.0943,2.5,19.7,Senior Secured,Real Estate,0,0.8044
CORP_049,Beacon Utilities,Corporate,Technology,US,BBB,4,1.64,6.19,0.1537,24.14,,,0.0436,0.0454,4.8,22.23,Senior Unsecured,Unsecured,0,0.4903
CORP_050,Nova Resources,Corporate,Utilities,UK,A,3,0.95,9.73,0.1572,500.0,,,0.043,0.0479,1.9,22.22,Senior Unsecured,Unsecured,0,0.3823
CORP_051,Global Ventures,Corporate,Technology,Brazil,BB,5,2.44,3.74,-0.0098,84.38,,,0.0651,0.0673,6.4,67.05,Subordinated,Unsecured,0,0.056
CORP_052,Core Technologies,Corporate,Utilities,South Africa,BBB,4,1.05,3.15,0.2185,29.32,,,0.0514,0.0574,2.1,45.59,Senior Unsecured,Financial Collateral,0,0.8848
CORP_053,Titan Pharmaceuticals,Corporate,Energy,Germany,BBB,4,1.93,2.38,0.2997,6.85,,,0.0392,0.0431,9.5,22.63,Subordinated,Unsecured,0,0.17
CORP_054,Quantum Group,Corporate,Technology,UK,AAA,1,0.32,9.43,0.2921,126.17,,,0.0209,0.0255,9.9,12.49,Senior Secured,Real Estate,0,0.756
CORP_055,Alpha Utilities,Corporate,Technology,South Africa,AA,2,0.49,6.13,0.3051,82.15,,,0.0229,0.0266,3.4,16.95,Senior Unsecured,Unsecured,0,0.4676
CORP_056,Beacon Pharmaceuticals,Corporate,Telecom,Brazil,BB,5,1.64,0.72,0.1318,48.03,,,0.0691,0.0739,7.5,53.95,Senior Secured,Physical Plant,0,0.6106
CORP_057,Aero Pharmaceuticals,Corporate,Finance,Brazil,A,3,0.95,7.35,0.2416,500.0,,,0.0287,0.031,4.7,64.7,Senior Unsecured,Unsecured,0,0.5281
CORP_058,Vertex Ventures,Corporate,Utilities,South Africa,AAA,1,0.28,11.01,0.4531,164.76,,,0.0157,0.0207,9.6,60.86,Senior Unsecured,Unsecured,0,0.5029
CORP_059,Core Telecom,Corporate,Energy,US,BBB,4,1.49,4.68,0.1752,67.36,,,0.0417,0.052,3.8,46.59,Senior Secured,Real Estate,0,0.7148
CORP_060,Crest Enterprises,Corporate,Finance,Germany,A,3,0.63,7.75,0.1966,215.35,,,0.0337,0.039,3.8,111.38,Senior Secured,Financial Collateral,0,0.8579
CORP_061,Alpha Ventures,Corporate,Energy,Germany,BB,5,3.11,2.27,0.2179,30.29,,,0.0625,0.0625,6.6,24.51,Senior Unsecured,Unsecured,0,0.5163
CORP_062,Apex Services,Corporate,Energy,Brazil,BBB,4,1.07,5.45,0.1804,24.81,,,0.0448,0.0514,6.3,68.07,Subordinated,Unsecured,0,0.1604
CORP_063,Nordic Infrastructure,Corporate,Finance,India,BBB,4,1.72,8.18,0.149,35.28,,,0.0449,0.0488,8.0,23.54,Subordinated,Unsecured,0,0.1416
CORP_064,Apex Utilities,Corporate,Energy,US,A,3,1.28,6.14,0.2134,96.14,,,0.0322,0.0385,3.0,230.73,Senior Unsecured,Unsecured,0,0.475
CORP_065,Apex Infrastructure,Corporate,Finance,India,BB,5,2.98,3.83,0.052,66.62,,,0.0563,0.0587,3.3,34.08,Senior Secured,Real Estate,0,0.8577
CORP_066,Pacific Services,Corporate,Technology,UK,BBB,4,3.01,3.7,0.1608,170.46,,,0.0514,0.0601,3.4,42.41,Senior Unsecured,Financial Collateral,0,0.8622
CORP_067,Vanguard Services,Corporate,Utilities,India,BBB,4,2.06,6.8,0.1481,97.02,,,0.0461,0.0495,7.7,47.01,Senior Unsecured,Unsecured,0,0.3685
CORP_068,United Enterprises,Corporate,Utilities,US,BBB,4,1.49,3.18,0.1687,30.69,,,0.0478,0.0521,8.6,13.56,Senior Unsecured,Unsecured,0,0.3681
CORP_069,Nordic Technologies,Corporate,Finance,Germany,A,3,1.09,8.47,0.2244,57.56,,,0.0451,0.0486,6.3,21.16,Senior Unsecured,Unsecured,0,0.3865
CORP_070,Titan Pharmaceuticals,Corporate,Energy,UK,A,3,0.66,6.73,0.3319,161.04,,,0.0406,0.0482,3.5,58.88,Senior Unsecured,Unsecured,0,0.3921
CORP_071,Pacific Energy,Corporate,Utilities,US,A,3,1.14,8.29,0.3083,44.99,,,0.0375,0.046,5.2,13.23,Senior Secured,Real Estate,0,0.7593
CORP_072,Quantum Technologies,Corporate,Finance,Germany,BB,5,2.96,1.81,0.251,269.18,,,0.0668,0.0687,3.0,49.95,Senior Secured,Financial Collateral,0,0.8102
CORP_073,United Industries,Corporate,Telecom,UK,BBB,4,1.74,4.39,0.2721,214.65,,,0.0493,0.0552,7.7,27.02,Senior Unsecured,Unsecured,0,0.4038
CORP_074,Core Technologies,Corporate,Finance,US,BBB,4,1.5,3.48,0.1199,45.3,,,0.057,0.0633,8.2,23.58,Senior Secured,Financial Collateral,0,0.8322
CORP_075,Summit Telecom,Corporate,Technology,US,BBB,4,1.77,5.52,0.1536,178.28,,,0.0486,0.0555,8.4,184.11,Senior Unsecured,Unsecured,0,0.3449
CORP_076,Vertex Group,Corporate,Finance,India,BBB,4,1.08,6.08,0.3337,48.93,,,0.0471,0.0542,1.4,12.26,Senior Unsecured,Unsecured,0,0.4959
CORP_077,Helix Energy,Corporate,Telecom,India,BBB,4,1.81,3.87,0.2905,45.59,,,0.0549,0.0614,7.9,419.57,Senior Unsecured,Unsecured,0,0.4278
CORP_078,Global Utilities,Corporate,Energy,UK,BB,5,2.08,0.16,0.0662,6.11,,,0.0626,0.0688,8.0,131.75,Senior Unsecured,Unsecured,0,0.2768
CORP_079,Pacific Logistics,Corporate,Telecom,US,A,3,0.87,8.59,0.1012,75.91,,,0.0292,0.0349,4.5,12.42,Senior Unsecured,Unsecured,0,0.4929
CORP_080,Dynamic Infrastructure,Corporate,Energy,Germany,BBB,4,1.38,1.57,0.129,91.7,,,0.0589,0.0614,9.5,19.33,Senior Secured,Financial Collateral,0,0.7978
CORP_081,Vertex Logistics,Corporate,Technology,US,BBB,4,2.1,4.26,0.3267,500.0,,,0.0464,0.0505,1.5,13.01,Senior Secured,Real Estate,0,0.7878
CORP_082,Helix Enterprises,Corporate,Finance,UK,A,3,1.47,6.68,0.2854,89.52,,,0.0357,0.0374,4.1,14.92,Senior Secured,Real Estate,0,0.7555
CORP_083,Core Technologies,Corporate,Telecom,US,BBB,4,1.43,3.61,0.1918,58.41,,,0.0513,0.0553,8.8,25.37,Senior Unsecured,Financial Collateral,0,0.8612
CORP_084,Nova Enterprises,Corporate,Telecom,India,BBB,4,1.25,3.84,0.0709,152.22,,,0.0463,0.0517,3.6,44.58,Senior Unsecured,Financial Collateral,0,0.8186
CORP_085,Global Technologies,Corporate,Telecom,US,A,3,0.83,8.42,0.3584,15.79,,,0.0405,0.0426,6.5,6.96,Senior Unsecured,Unsecured,0,0.4857
CORP_086,Apex Ventures,Corporate,Energy,Germany,BBB,4,2.1,6.8,0.0201,30.31,,,0.0483,0.0555,5.3,11.52,Senior Unsecured,Unsecured,0,0.2684
CORP_087,Nova Group,Corporate,Energy,Brazil,B,6,3.57,1.39,0.0349,104.32,,,0.0898,0.0929,3.3,15.87,Senior Unsecured,Unsecured,0,0.3117
CORP_088,Nordic Enterprises,Corporate,Energy,UK,A,3,0.7,6.66,0.324,22.78,,,0.0355,0.0379,7.4,39.79,Senior Secured,Physical Plant,0,0.525
CORP_089,Delta Holdings,Corporate,Technology,Brazil,AAA,1,0.34,12.21,0.4965,88.09,,,0.0186,0.0244,2.9,11.4,Senior Unsecured,Financial Collateral,0,0.92
CORP_090,Pacific Utilities,Corporate,Energy,Germany,BB,5,3.36,3.05,0.0746,92.44,,,0.0593,0.0638,3.1,32.82,Senior Unsecured,Unsecured,0,0.4875
CORP_091,Apex Ventures,Corporate,Utilities,UK,A,3,0.78,7.25,0.2452,30.07,,,0.0434,0.0502,5.0,137.3,Senior Secured,Real Estate,0,0.7252
CORP_092,Nordic Pharmaceuticals,Corporate,Energy,India,AA,2,0.43,8.48,0.2981,17.64,,,0.0252,0.0286,1.6,21.28,Senior Unsecured,Financial Collateral,0,0.8781
CORP_093,Vertex Services,Corporate,Energy,Germany,A,3,0.87,6.21,0.1239,31.99,,,0.0309,0.0362,9.7,99.91,Senior Secured,Financial Collateral,0,0.8778
CORP_094,Nova Ventures,Corporate,Technology,Brazil,CCC/C,7,2.68,-1.25,-0.1,132.11,,,0.1168,0.1223,3.3,49.18,Senior Unsecured,Unsecured,1,0.4269
CORP_095,Quantum Utilities,Corporate,Technology,UK,A,3,0.61,5.21,0.2848,11.98,,,0.0322,0.0389,9.5,46.88,Senior Unsecured,Unsecured,0,0.5122
CORP_096,Beacon Pharmaceuticals,Corporate,Energy,India,A,3,1.04,7.9,0.2394,47.37,,,0.0291,0.0334,7.3,35.8,Senior Unsecured,Unsecured,0,0.3993
CORP_097,Aero Utilities,Corporate,Technology,South Africa,BB,5,2.29,3.6,0.056,85.28,,,0.0698,0.068,3.1,42.47,Subordinated,Unsecured,0,0.1015
CORP_098,Summit Services,Corporate,Utilities,South Africa,BBB,4,1.15,2.16,0.0935,79.26,,,0.0476,0.0496,7.8,10.58,Senior Unsecured,Unsecured,0,0.4706
CORP_099,Quantum Energy,Corporate,Finance,US,BBB,4,1.09,5.87,0.24,500.0,,,0.0428,0.0474,9.0,11.73,Senior Secured,Financial Collateral,0,0.841
CORP_100,Pacific Services,Corporate,Telecom,South Africa,A,3,0.85,5.43,0.311,235.57,,,0.03,0.0362,6.6,73.96,Senior Unsecured,Unsecured,0,0.3605
CORP_101,Nordic Industries,Corporate,Utilities,US,BBB,4,2.16,4.26,0.1978,23.6,,,0.0458,0.049,7.6,5.55,Senior Secured,Financial Collateral,0,0.8322
CORP_102,United Industries,Corporate,Technology,US,BBB,4,1.52,3.93,0.193,69.9,,,0.0509,0.057,5.5,16.39,Senior Secured,Physical Plant,0,0.4271
CORP_103,United Energy,Corporate,Telecom,Brazil,BBB,4,1.51,4.64,0.219,38.07,,,0.044,0.0516,3.7,91.44,Senior Unsecured,Unsecured,0,0.3474
CORP_104,Pacific Logistics,Corporate,Energy,South Africa,AA,2,0.63,10.05,0.2953,121.98,,,0.0239,0.0287,9.6,75.57,Senior Secured,Real Estate,0,0.7468
CORP_105,Global Holdings,Corporate,Telecom,India,B,6,5.0,1.43,0.0684,24.19,,,0.0888,0.0922,6.0,14.35,Senior Secured,Physical Plant,1,0.5705
CORP_106,Helix Enterprises,Corporate,Technology,India,A,3,0.97,7.4,0.347,26.59,,,0.0411,0.0458,7.6,59.48,Senior Secured,Financial Collateral,0,0.8969
CORP_107,United Technologies,Corporate,Energy,India,BBB,4,1.19,4.44,0.1221,10.19,,,0.052,0.0587,6.5,39.86,Subordinated,Unsecured,0,0.1072
CORP_108,Core Pharmaceuticals,Corporate,Energy,US,BBB,4,1.46,5.42,0.2196,49.25,,,0.0415,0.0487,7.7,49.49,Senior Unsecured,Unsecured,0,0.495
CORP_109,Nordic Holdings,Corporate,Energy,UK,BB,5,3.2,3.4,0.2101,131.42,,,0.0645,0.0719,5.5,27.81,Senior Unsecured,Unsecured,0,0.3247
CORP_110,Pacific Holdings,Corporate,Telecom,South Africa,BBB,4,2.14,3.64,0.2145,26.01,,,0.0591,0.0635,1.6,120.19,Senior Unsecured,Unsecured,0,0.5605
CORP_111,Crest Energy,Corporate,Finance,Brazil,A,3,0.7,7.58,0.3654,140.14,,,0.0354,0.043,4.4,46.72,Senior Secured,Real Estate,0,0.7153
CORP_112,Dynamic Infrastructure,Corporate,Technology,Brazil,A,3,1.01,5.38,0.1738,59.06,,,0.0393,0.046,9.6,44.63,Subordinated,Unsecured,0,0.0812
CORP_113,Titan Industries,Corporate,Telecom,South Africa,BBB,4,1.73,4.28,0.1627,12.18,,,0.0506,0.0545,5.1,14.39,Senior Secured,Financial Collateral,0,0.8479
CORP_114,Aero Resources,Corporate,Technology,Brazil,BB,5,2.84,0.55,0.1516,33.82,,,0.0668,0.072,1.6,32.31,Senior Secured,Real Estate,0,0.7378
CORP_115,Alpha Holdings,Corporate,Energy,US,BB,5,2.59,1.08,-0.0739,145.24,,,0.0687,0.0731,1.2,42.65,Senior Unsecured,Financial Collateral,0,0.8535
CORP_116,Vertex Resources,Corporate,Technology,India,CCC/C,7,5.0,-2.0,-0.0265,15.45,,,0.1223,0.1273,6.5,18.33,Senior Secured,Real Estate,1,0.7311
CORP_117,Delta Holdings,Corporate,Technology,US,CCC/C,7,4.24,-2.0,0.0651,74.01,,,0.1309,0.1377,3.0,28.96,Senior Secured,Financial Collateral,1,0.896
CORP_118,Alpha Technologies,Corporate,Utilities,India,BBB,4,2.03,3.47,0.1758,26.56,,,0.0373,0.0423,8.8,124.16,Senior Unsecured,Unsecured,0,0.422
CORP_119,Dynamic Holdings,Corporate,Finance,Brazil,A,3,0.92,7.96,0.3094,293.65,,,0.0306,0.0358,4.1,19.03,Senior Unsecured,Unsecured,0,0.2787
CORP_120,Crest Infrastructure,Corporate,Utilities,India,B,6,3.91,-1.36,0.1235,30.76,,,0.0994,0.1065,8.2,64.56,Senior Unsecured,Unsecured,1,0.3847
CORP_121,Vertex Technologies,Corporate,Utilities,India,B,6,3.49,0.19,-0.0264,91.65,,,0.1003,0.1032,1.8,40.8,Senior Unsecured,Financial Collateral,0,0.8596
CORP_122,United Technologies,Corporate,Finance,Brazil,BB,5,1.93,1.82,0.1226,45.94,,,0.074,0.0794,9.0,40.89,Senior Secured,Physical Plant,0,0.5717
CORP_123,Crest Holdings,Corporate,Utilities,Brazil,A,3,1.25,6.82,0.1103,32.67,,,0.0415,0.0464,4.0,54.16,Senior Unsecured,Unsecured,0,0.3328
CORP_124,Synergy Technologies,Corporate,Technology,Germany,BBB,4,1.94,6.39,0.0785,208.14,,,0.0475,0.0549,9.8,16.99,Senior Unsecured,Unsecured,0,0.4259
CORP_125,Dynamic Group,Corporate,Technology,Brazil,A,3,0.79,8.17,0.3901,165.16,,,0.0253,0.0306,2.9,52.8,Subordinated,Unsecured,0,0.159
CORP_126,Apex Ventures,Corporate,Telecom,UK,BBB,4,1.46,2.79,0.0949,33.62,,,0.0432,0.0476,4.7,32.37,Senior Secured,Financial Collateral,0,0.9065
CORP_127,Summit Group,Corporate,Technology,Germany,CCC/C,7,5.0,0.83,0.0303,469.28,,,0.1228,0.1323,6.7,10.78,Senior Secured,Real Estate,1,0.7343
CORP_128,Vanguard Industries,Corporate,Finance,US,BB,5,3.06,4.49,0.0914,132.78,,,0.0678,0.0773,8.5,22.4,Senior Secured,Financial Collateral,0,0.7823
CORP_129,Pacific Utilities,Corporate,Telecom,Germany,BBB,4,1.67,7.06,0.1104,53.75,,,0.0431,0.0471,2.5,32.9,Senior Unsecured,Unsecured,0,0.4508
CORP_130,Nordic Holdings,Corporate,Finance,India,CCC/C,7,3.84,-1.9,-0.0217,58.82,,,0.1169,0.1188,9.0,66.73,Senior Secured,Financial Collateral,1,0.8582
CORP_131,United Industries,Corporate,Utilities,South Africa,BBB,4,1.28,3.5,0.1836,60.41,,,0.0534,0.0573,6.1,7.81,Subordinated,Unsecured,0,0.1558
CORP_132,Pacific Industries,Corporate,Technology,US,AA,2,0.51,6.76,0.3485,176.0,,,0.023,0.0267,4.6,8.27,Subordinated,Unsecured,0,0.0708
CORP_133,Vertex Services,Corporate,Technology,India,BBB,4,1.96,5.3,0.2655,17.98,,,0.0509,0.0581,1.8,86.57,Subordinated,Unsecured,0,0.26
CORP_134,Helix Telecom,Corporate,Energy,India,BBB,4,2.15,1.9,0.2165,128.16,,,0.0499,0.0562,2.1,14.02,Senior Secured,Financial Collateral,0,0.8543
CORP_135,Aero Group,Corporate,Telecom,UK,B,6,3.3,1.73,0.1569,52.12,,,0.0892,0.0929,8.7,19.38,Senior Unsecured,Financial Collateral,0,0.8433
CORP_136,Vertex Technologies,Corporate,Utilities,Germany,BB,5,2.51,3.42,0.1835,10.44,,,0.0715,0.0732,7.4,15.89,Senior Secured,Financial Collateral,0,0.9093
CORP_137,Aero Industries,Corporate,Finance,Germany,AAA,1,0.42,14.09,0.355,48.67,,,0.0116,0.015,7.1,9.51,Senior Secured,Physical Plant,0,0.7018
CORP_138,Nordic Industries,Corporate,Telecom,UK,BBB,4,1.6,3.79,0.1918,90.34,,,0.0425,0.0468,1.2,28.45,Senior Secured,Physical Plant,0,0.7279
CORP_139,Alpha Ventures,Corporate,Telecom,Germany,BB,5,3.49,2.75,0.1114,93.88,,,0.0571,0.0599,5.9,40.53,Senior Unsecured,Unsecured,0,0.3056
CORP_140,Helix Energy,Corporate,Energy,UK,A,3,0.66,5.7,0.2849,98.33,,,0.0398,0.0412,2.3,183.94,Senior Unsecured,Unsecured,0,0.3264
CORP_141,Crest Resources,Corporate,Technology,UK,BBB,4,1.35,5.18,0.2364,128.4,,,0.0563,0.0644,4.2,22.62,Senior Unsecured,Unsecured,0,0.3961
CORP_142,Synergy Telecom,Corporate,Energy,Brazil,B,6,3.82,1.78,0.0674,42.42,,,0.0804,0.0852,5.4,297.13,Senior Unsecured,Unsecured,1,0.4765
CORP_143,Helix Technologies,Corporate,Technology,Germany,BB,5,1.5,-0.37,0.2414,326.91,,,0.0645,0.0722,10.0,11.56,Senior Secured,Real Estate,0,0.8078
CORP_144,Pacific Services,Corporate,Telecom,UK,BBB,4,2.12,5.92,0.1382,90.14,,,0.0431,0.0454,8.2,17.11,Subordinated,Unsecured,0,0.1158
CORP_145,Helix Technologies,Corporate,Energy,US,AA,2,0.68,7.84,0.3644,69.38,,,0.0219,0.0275,4.6,16.24,Senior Unsecured,Unsecured,0,0.478
CORP_146,Core Energy,Corporate,Finance,India,B,6,2.37,1.12,0.0501,26.5,,,0.0933,0.1002,1.5,30.76,Senior Secured,Real Estate,0,0.7074
CORP_147,Core Group,Corporate,Utilities,South Africa,A,3,0.61,6.8,0.2863,61.4,,,0.0267,0.0341,6.8,5.0,Senior Unsecured,Unsecured,0,0.4147
CORP_148,Crest Enterprises,Corporate,Energy,Brazil,A,3,0.69,5.48,0.1994,70.96,,,0.0361,0.042,4.6,54.62,Senior Secured,Financial Collateral,0,0.8825
CORP_149,Beacon Pharmaceuticals,Corporate,Telecom,UK,BBB,4,2.0,4.81,0.1226,500.0,,,0.0504,0.0551,1.7,40.58,Subordinated,Unsecured,0,0.0974
CORP_150,Crest Energy,Corporate,Telecom,Germany,B,6,4.19,0.65,0.0712,33.5,,,0.0778,0.0825,6.7,53.15,Senior Unsecured,Financial Collateral,1,0.8173
CORP_151,Beacon Utilities,Corporate,Technology,South Africa,A,3,1.58,6.38,0.086,58.22,,,0.0346,0.0419,2.0,96.73,Senior Secured,Physical Plant,0,0.6505
